Subject	shword	Resp	RT	step	sword	TrialCount	wavfile	which	Sresp	StepNum
207	medishine	5	1517	step8	medicine	163	Continuua/medicine_medishine/stimulus008.wav	one	5	8
207	shailboat	5	890	step5	sailboat	164	Continuua/sailboat_shailboat/stimulus005.wav	one	5	5
207	sheremony	5	745	step3	ceremony	165	Continuua/ceremony_sheremony/stimulus003.wav	one	5	3
207	cashtle	1	983	step11	castle	166	Continuua/castle_cashle/stimulus011.wav	one	5	11
207	shack	1	856	step9	sack	167	Continuua/sack_shack/stimulus009.wav	both	5	9
207	pharmashy	5	999	step2	pharmacy	168	Continuua/pharmacy_pharmashy/stimulus002.wav	one	5	2
207	shy	5	708	step4	sigh	169	Continuua/sigh_shy/stimulus004.wav	both	5	4
207	currenshy	1	826	step10	currency	170	Continuua/currency_currenshy/stimulus010.wav	one	5	10
207	faushet	5	857	step5	faucet	171	Continuua/faucet_faushet/stimulus005.wav	one	5	5
207	shock	1	1512	step8	sock	172	Continuua/sock_shock/stimulus008.wav	both	5	8
207	dinoshaur	1	853	step10	dinosaur	173	Continuua/dinosaur_dinoshaur/stimulus010.wav	one	5	10
207	shatellite	5	721	step4	satellite	174	Continuua/satellite_shatellite/stimulus004.wav	one	5	4
207	shafari	1	721	step9	safari	175	Continuua/safari_shafari/stimulus009.wav	one	5	9
207	penshil	1	739	step10	pencil	176	Continuua/pencil_penshil/stimulus010.wav	one	5	10
207	whishtle	1	570	step9	whistle	177	Continuua/whistle_whishle/stimulus009.wav	one	5	9
207	shocket	5	731	step4	socket	178	Continuua/socket_shocket/stimulus004.wav	one	5	4
207	shy	1	865	step8	sigh	179	Continuua/sigh_shy/stimulus008.wav	both	5	8
207	shatellite	5	690	step3	satellite	180	Continuua/satellite_shatellite/stimulus003.wav	one	5	3
207	shofa	1	611	step9	sofa	181	Continuua/sofa_shofa/stimulus009.wav	one	5	9
207	conshert	1	665	step9	concert	182	Continuua/concert_conshert/stimulus009.wav	one	5	9
207	shidewalk	1	719	step8	sidewalk	183	Continuua/sidewalk_shidewalk/stimulus008.wav	one	5	8
207	sheminar	1	588	step9	seminar	184	Continuua/seminar_sheminar/stimulus009.wav	one	5	9
207	shack	1	696	step8	sack	185	Continuua/sack_shack/stimulus008.wav	both	5	8
207	shaddle	1	735	step11	saddle	186	Continuua/saddle_shaddle/stimulus011.wav	one	5	11
207	shement	5	753	step6	cement	187	Continuua/cement_shement/stimulus006.wav	one	5	6
207	shyrup	5	1047	step5	syrup	188	Continuua/syrup_shyrup/stimulus005.wav	one	5	5
